type,formalTyping,code,type1,type2
PERATURAN MENTERI PEMUDA DAN OLAHRAGA REPUBLIK INDONESIA,Peraturan Menteri Pemuda Dan Olahraga Republik Indonesia,Permen_Pora,MinisterialRegulation,Berita_Negara
PERATURAN MENTERI KEUANGANREPUBLIK INDONESIA,Peraturan Menteri Keuangan Republik Indonesia,Permen_Keu,MinisterialRegulation,Berita_Negara
PERATURAN KETUA KOMISI NASIONAL HAK ASASI MANUSIA,Peraturan Komisi Nasional Hak Asasi Manusia Republik Indonesia,Peraturan_Komnas_HAM,AgencyRegulation,Berita_Negara
PERATURAN DAERAH KOTA SUNGAI PENUH NOMOR PERUBAHAN ATAS PERATURAN DAERAH PENUH,Perubahan Peraturan Daerah Kota Sungai Penuh,Perubahan_Perkot_Sungai_Penuh,MunicipalityRegulation,Lembaran_Daerah_Kota_Sungai_Penuh
PERATURAN DAERAH PROVINSI JAWA BARAT,Peraturan Daerah Provinsi Jawa Barat,Perprov_Jabar,ProvincialRegulation,Lembaran_Daerah_Provinsi_Jawa_Barat
PERATURAN KETUA LEMBAGA PERLINDUNGAN SAKSI DAN KORBAN,Peraturan Lembaga Perlindungan Saksi Dan Korban Republik Indonesia,Peraturan_LPSK,AgencyRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN MAJALENGKA,Peraturan Daerah Kabupaten Majalengka,Perkab_Majalengka,RegencyRegulation,Lembaran_Daerah_Kabupaten_Majalengka
PERATURAN DAERAH KABUPATEN TANAH DATAR,Peraturan Daerah Kabupaten Tanah Datar,Perkab_Tanah_Datar,RegencyRegulation,Lembaran_Daerah_Kabupaten_Tanah_Datar
PERATURAN DAERAH PROVINSI DAERAH ISTIMEWA YOGYAKARTA,Peraturan Daerah Provinsi Daerah Istimewa Yogyakarta,Perprov_Yogya,ProvincialRegulation,Lembaran_Daerah_Provinsi_DI_Yogyakarta
PERATURAN BADAN WAKAF INDONESIA,Peraturan Badan Wakaf Indonesia,Peraturan_BWI,AgencyRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN DAERAH TINGKAT II INRAMAYU,Peraturan Daerah Kabupaten Indramayu,Perkab_Indramayu,RegencyRegulation,Lembaran_Daerah_Kabupaten_Indramayu
PERATURAN DEWAN PERWAKILAN DAERAH REPUBLIK INDONESIA,Peraturan Dewan Perwakilan Daerah Republik Indonesia,Peraturan_DPD,RegionalRepresentativesCouncilRegulation,Berita_Negara
PERATURAN MENTERI KELAUTAN DAN PERIKANAN REPUBLIK INDONESIA SELAKU KETUA PANITIA NASIONAL PENGANGKATAN DAN PEMANFAATAN BENDA BERHARGA ASAL MUATAN KAPAL YANG TENGGELAM,Peraturan Menteri Kelautan Dan Perikanan Republik Indonesia,Permen_KP,MinisterialRegulation,Berita_Negara
